"region","regioncode","prefecture","commune","canton","code_canton","code","localite_name","localites","locationcode","idcentre","centres"
SAVANES,R5,CINKASSE,CINKASSE 1,GNOAGA,CNT336,L1469,YIKOUTIN,YIKOUTIN-LYCEE AVEDJI ELAVAGNON,"000012827","12827",LYCEE AVEDJI ELAVAGNON
SAVANES,R5,CINKASSE,CINKASSE 1,BOADE,CNT334,L1472,KORENZOAGA I,KORENZOAGA I-EPP AFLAO GAKLI G/B,"000012830","12830",EPP AFLAO GAKLI G/B
SAVANES,R5,CINKASSE,CINKASSE 1,BOADE,CNT334,L1472,KORENZOAGA I,KORENZOAGA I-EPP AFLAO G/AKLI G/A,"000012831","12831",EPP AFLAO G/AKLI G/A
SAVANES,R5,CINKASSE,CINKASSE 1,BOADE,CNT334,L1476,GANGAII,GANGAII-EPL INSTITUT EDUCATION ANYINEFA,"000012832","12832",EPL INSTITUT EDUCATION ANYINEFA
SAVANES,R5,CINKASSE,CINKASSE 1,BOADE,CNT334,L1476,GANGAII,GANGAII-CEG TOTSI,"000012833","12833",CEG TOTSI
SAVANES,R5,CINKASSE,CINKASSE 1,GNOAGA,CNT336,L1471,WANRE,WANRE-J.E.P MAIRIN,"000012834","12834",J.E.P MAIRIN
SAVANES,R5,CINKASSE,CINKASSE 1,GNOAGA,CNT336,L1474,BINGOULA,BINGOULA-TECHNOCRATE A,"000012835","12835",TECHNOCRATE A
SAVANES,R5,CINKASSE,CINKASSE 1,GNOAGA,CNT336,L1474,BINGOULA,BINGOULA-TECHNOCRATE B,"000012836","12836",TECHNOCRATE B
SAVANES,R5,CINKASSE,CINKASSE 1,GNOAGA,CNT336,L1474,BINGOULA,BINGOULA-TECHNOCRATE C,"000012837","12837",TECHNOCRATE C
SAVANES,R5,CINKASSE,CINKASSE 1,GNOAGA,CNT336,L1467,YOUMAKOU,YOUMAKOU-LETP LOME,"000012838","12838",LETP LOME
SAVANES,R5,CINKASSE,CINKASSE 1,BOADE,CNT334,L1480,ZAMISSI,ZAMISSI-EPP BAGUIDA CENTRE,"000012840","12840",EPP BAGUIDA CENTRE
SAVANES,R5,CINKASSE,CINKASSE 1,BOADE,CNT334,L1483,GROUPEMENT PEUHL WOURI-WOURI,GROUPEMENT PEUHL WOURI-WOURI-EPE ADAMAVO,"000012843","12843",EPE ADAMAVO
SAVANES,R5,CINKASSE,CINKASSE 1,BOADE,CNT334,L1477,ZINTANGO,ZINTANGO-CEG ADAMAVO,"000012844","12844",CEG ADAMAVO
SAVANES,R5,CINKASSE,CINKASSE 1,BOADE,CNT334,L1477,ZINTANGO,ZINTANGO-EPP ADAMAVOKOPE G/A,"000012845","12845",EPP ADAMAVOKOPE G/A
SAVANES,R5,CINKASSE,CINKASSE 1,BOADE,CNT334,L1477,ZINTANGO,ZINTANGO-EPP ADAMAVOKOPE G/B,"000012846","12846",EPP ADAMAVOKOPE G/B
SAVANES,R5,CINKASSE,CINKASSE 1,BOADE,CNT334,L1477,ZINTANGO,ZINTANGO-EPC ADAMAVO G/A,"000012847","12847",EPC ADAMAVO G/A
SAVANES,R5,CINKASSE,CINKASSE 1,BOADE,CNT334,L1477,ZINTANGO,ZINTANGO-EPC ADAMAVO G/B,"000012848","12848",EPC ADAMAVO G/B
SAVANES,R5,CINKASSE,CINKASSE 1,BOADE,CNT334,L1478,BOADE CENTRE,BOADE CENTRE-CEG BAGUIDA PLANTATION,"000012849","12849",CEG BAGUIDA PLANTATION
SAVANES,R5,CINKASSE,CINKASSE 1,BOADE,CNT334,L1478,BOADE CENTRE,BOADE CENTRE-EPC AGODEKE G/B,"000012850","12850",EPC AGODEKE G/B
SAVANES,R5,CINKASSE,CINKASSE 1,BOADE,CNT334,L1479,SANDOGO,SANDOGO-EPE AVEPOZO G/A,"000012851","12851",EPE AVEPOZO G/A
SAVANES,R5,CINKASSE,CINKASSE 1,BOADE,CNT334,L1479,SANDOGO,SANDOGO-EPE AVEPOZO G/B,"000012852","12852",EPE AVEPOZO G/B
SAVANES,R5,CINKASSE,CINKASSE 1,BOADE,CNT334,L1479,SANDOGO,SANDOGO-EPP AVEPOZO G/B,"000012853","12853",EPP AVEPOZO G/B
SAVANES,R5,CINKASSE,CINKASSE 1,BOADE,CNT334,L1480,ZAMISSI,ZAMISSI-EPP BAGUIDA PLANTATION G/A,"000012855","12855",EPP BAGUIDA PLANTATION G/A
SAVANES,R5,CINKASSE,CINKASSE 1,BOADE,CNT334,L1480,ZAMISSI,ZAMISSI-EPP BAGUIDA II,"000012856","12856",EPP BAGUIDA II
SAVANES,R5,CINKASSE,CINKASSE 1,BOADE,CNT334,L1480,ZAMISSI,ZAMISSI-EPP BAGUIDA III,"000012857","12857",EPP BAGUIDA III
SAVANES,R5,CINKASSE,CINKASSE 1,BOADE,CNT334,L1480,ZAMISSI,ZAMISSI-EPP BAGUIDA PLANTATION G/B,"000012858","12858",EPP BAGUIDA PLANTATION G/B
SAVANES,R5,CINKASSE,CINKASSE 1,BOADE,CNT334,L1481,KASSOU II,KASSOU II-EPP DEVEGO G/A,"000012859","12859",EPP DEVEGO G/A
SAVANES,R5,CINKASSE,CINKASSE 1,BOADE,CNT334,L1481,KASSOU II,KASSOU II-EPP DEVEGO G/B,"000012860","12860",EPP DEVEGO G/B
SAVANES,R5,CINKASSE,CINKASSE 1,BOADE,CNT334,L1483,GROUPEMENT PEUHL WOURI-WOURI,GROUPEMENT PEUHL WOURI-WOURI-LPL EUREKA ADAMAVO,"000012861","12861",LPL EUREKA ADAMAVO
SAVANES,R5,CINKASSE,CINKASSE 1,BOADE,CNT334,L1484,WOURI-WOURI,WOURI-WOURI-EPP KPOGAN LAMBOU G/A,"000012862","12862",EPP KPOGAN LAMBOU G/A
SAVANES,R5,CINKASSE,CINKASSE 1,BOADE,CNT334,L1484,WOURI-WOURI,WOURI-WOURI-EPP KPOGAN LAMBOU G/B,"000012863","12863",EPP KPOGAN LAMBOU G/B
SAVANES,R5,CINKASSE,CINKASSE 1,BOADE,CNT334,L1484,WOURI-WOURI,WOURI-WOURI-CPL SAINT ESPRIT DE KPOGAN,"000012864","12864",CPL SAINT ESPRIT DE KPOGAN
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1485,KOMOULOGO 2,KOMOULOGO 2-CPL LA FLORAISON,"000012865","12865",CPL LA FLORAISON
SAVANES,R5,CINKASSE,CINKASSE 1,BOADE,CNT334,L1477,ZINTANGO,ZINTANGO-CEG CITE BAGUIDA RAILS,"000012866","12866",CEG CITE BAGUIDA RAILS
SAVANES,R5,CINKASSE,CINKASSE 1,BOADE,CNT334,L1478,BOADE CENTRE,BOADE CENTRE-EPC AGODEKE G/A,"000012867","12867",EPC AGODEKE G/A
SAVANES,R5,CINKASSE,CINKASSE 1,BOADE,CNT334,L1480,ZAMISSI,ZAMISSI-EPL BEGONIA,"000012868","12868",EPL BEGONIA
