"code","name","descr","lang_code","is_active","cr_by","cr_dtimes"
"MNA","Manuel arbitrage","Renvoi en cours de sélection manuelle","fra","TRUE","superadmin","now()"
"CLR","Rejet de client","Rejet en enregistrement Client","fra","TRUE","superadmin","now()"
