"code","name","descr","lang_code","is_active","cr_by","cr_dtimes"
"FRS","Scanner dempreintes digitales","Scannez les empreintes digitales","fra","TRUE","superadmin","now()"
"IRS","Scanner dIris","Pour scanner liris","fra","TRUE","superadmin","now()"
"CMR","Caméra","Pour capturer une photo","fra","TRUE","superadmin","now()"
"SCN","Scanner de documents","Pour numériser des documents","fra","TRUE","superadmin","now()"
"PRT","Imprimante","Pour imprimer des documents","fra","TRUE","superadmin","now()"
