"code","name","descr","lang_code","is_active","cr_by","cr_dtimes"
"UIN","Numéro didentification unique","Carte didentité nationale fournie au demandeur","fra","TRUE","superadmin","now()"
"PRID","ID de pré-inscription","ID attribué après la pré-inscription","fra","TRUE","superadmin","now()"
"RID","ID denregistrement","ID attribué après lenregistrement","fra","TRUE","superadmin","now()"
"VID","ID virtuel","Identifiant utilisé en remplacement de UIN","fra","TRUE","superadmin","now()"
"Token ID","ID de jeton","ID utilisé par un fournisseur pour un demandeur","fra","TRUE","superadmin","now()"
