"code","name","descr","lang_code","is_active","cr_by","cr_dtimes"
"POA","Un justificatif de domicile","Preuve dadresse","fra","TRUE","superadmin","now()"
"POI","Preuve didentité","Preuve didentité","fra","TRUE","superadmin","now()"
"POR","Preuve de relation","Preuve de relation de la personne","fra","TRUE","superadmin","now()"
"POB","Preuve de naissance","Preuve de la date de naissance de la personne","fra","FALSE","superadmin","now()"
"POE","Preuve dexception biométrique","Preuve dexception biométrique","fra","TRUE","superadmin","now()"
