code,name,hierarchy_level,hierarchy_level_name,parent_loc_code,lang_code,is_active,cr_by,cr_dtimes
TGO,Togo,0,Country,,eng,t,superadmin,2021-11-25 01:30:04.082
TGO,Togo,0,Pays,,fra,t,superadmin,2021-11-25 01:30:04.082
R1,CENTRALE,1,Region,TGO,eng,t,superadmin,2021-11-25 01:30:04.082
R1,CENTRALE,1,R̩gion,TGO,fra,t,superadmin,2021-11-25 01:30:04.082
R2,KARA,1,Region,TGO,eng,t,superadmin,2021-11-25 01:30:04.082
R2,KARA,1,R̩gion,TGO,fra,t,superadmin,2021-11-25 01:30:04.082
R3,MARITIME,1,Region,TGO,eng,t,superadmin,2021-11-25 01:30:04.082
R3,MARITIME,1,R̩gion,TGO,fra,t,superadmin,2021-11-25 01:30:04.082
R4,PLATEAUX,1,Region,TGO,eng,t,superadmin,2021-11-25 01:30:04.082
R4,PLATEAUX,1,R̩gion,TGO,fra,t,superadmin,2021-11-25 01:30:04.082
R5,SAVANES,1,Region,TGO,eng,t,superadmin,2021-11-25 01:30:04.082
R5,SAVANES,1,R̩gion,TGO,fra,t,superadmin,2021-11-25 01:30:04.082
R6,DAGL,1,Region,TGO,eng,t,superadmin,2021-11-25 01:30:04.082
R6,DAGL,1,R̩gion,TGO,fra,t,superadmin,2021-11-25 01:30:04.082
R1_BLITTA,BLITTA,2,Prefecture,R1,eng,t,superadmin,2021-11-25 01:30:04.082
R1_BLITTA,BLITTA,2,Pr̩fecture,R1,fra,t,superadmin,2021-11-25 01:30:04.082
R1_MO,MO,2,Prefecture,R1,eng,t,superadmin,2021-11-25 01:30:04.082
R1_MO,MO,2,Pr̩fecture,R1,fra,t,superadmin,2021-11-25 01:30:04.082
R1_SOTOUBOUA,SOTOUBOUA,2,Prefecture,R1,eng,t,superadmin,2021-11-25 01:30:04.082
R1_SOTOUBOUA,SOTOUBOUA,2,Pr̩fecture,R1,fra,t,superadmin,2021-11-25 01:30:04.082
R1_TCHAMBA,TCHAMBA,2,Prefecture,R1,eng,t,superadmin,2021-11-25 01:30:04.082
R1_TCHAMBA,TCHAMBA,2,Pr̩fecture,R1,fra,t,superadmin,2021-11-25 01:30:04.082
R1_TCHAOUDJO,TCHAOUDJO,2,Prefecture,R1,eng,t,superadmin,2021-11-25 01:30:04.082
R1_TCHAOUDJO,TCHAOUDJO,2,Pr̩fecture,R1,fra,t,superadmin,2021-11-25 01:30:04.082
R2_ASSOLI,ASSOLI,2,Prefecture,R2,eng,t,superadmin,2021-11-25 01:30:04.082
R2_ASSOLI,ASSOLI,2,Pr̩fecture,R2,fra,t,superadmin,2021-11-25 01:30:04.082
R2_BASSAR,BASSAR,2,Prefecture,R2,eng,t,superadmin,2021-11-25 01:30:04.082
R2_BASSAR,BASSAR,2,Pr̩fecture,R2,fra,t,superadmin,2021-11-25 01:30:04.082
R2_BINAH,BINAH,2,Prefecture,R2,eng,t,superadmin,2021-11-25 01:30:04.082
R2_BINAH,BINAH,2,Pr̩fecture,R2,fra,t,superadmin,2021-11-25 01:30:04.082
R2_DANKPEN,DANKPEN,2,Prefecture,R2,eng,t,superadmin,2021-11-25 01:30:04.082
R2_DANKPEN,DANKPEN,2,Pr̩fecture,R2,fra,t,superadmin,2021-11-25 01:30:04.082
R2_DOUFELGOU,DOUFELGOU,2,Prefecture,R2,eng,t,superadmin,2021-11-25 01:30:04.082
R2_DOUFELGOU,DOUFELGOU,2,Pr̩fecture,R2,fra,t,superadmin,2021-11-25 01:30:04.082
R2_KERAN,KERAN,2,Prefecture,R2,eng,t,superadmin,2021-11-25 01:30:04.082
R2_KERAN,KERAN,2,Pr̩fecture,R2,fra,t,superadmin,2021-11-25 01:30:04.082
R2_KOZAH,KOZAH,2,Prefecture,R2,eng,t,superadmin,2021-11-25 01:30:04.082
R2_KOZAH,KOZAH,2,Pr̩fecture,R2,fra,t,superadmin,2021-11-25 01:30:04.082
R3_AVE,AVE,2,Prefecture,R3,eng,t,superadmin,2021-11-25 01:30:04.082
R3_AVE,AVE,2,Pr̩fecture,R3,fra,t,superadmin,2021-11-25 01:30:04.082
R3_BAS_MONO,BAS-MONO,2,Prefecture,R3,eng,t,superadmin,2021-11-25 01:30:04.082
R3_BAS_MONO,BAS-MONO,2,Pr̩fecture,R3,fra,t,superadmin,2021-11-25 01:30:04.082
R3_LACS,LACS,2,Prefecture,R3,eng,t,superadmin,2021-11-25 01:30:04.082
R3_LACS,LACS,2,Pr̩fecture,R3,fra,t,superadmin,2021-11-25 01:30:04.082
R3_VO,VO,2,Prefecture,R3,eng,t,superadmin,2021-11-25 01:30:04.082
R3_VO,VO,2,Pr̩fecture,R3,fra,t,superadmin,2021-11-25 01:30:04.082
R3_YOTO,YOTO,2,Prefecture,R3,eng,t,superadmin,2021-11-25 01:30:04.082
R3_YOTO,YOTO,2,Pr̩fecture,R3,fra,t,superadmin,2021-11-25 01:30:04.082
R3_ZIO,ZIO,2,Prefecture,R3,eng,t,superadmin,2021-11-25 01:30:04.082
R3_ZIO,ZIO,2,Pr̩fecture,R3,fra,t,superadmin,2021-11-25 01:30:04.082
R4_AGOU,AGOU,2,Prefecture,R4,eng,t,superadmin,2021-11-25 01:30:04.082
R4_AGOU,AGOU,2,Pr̩fecture,R4,fra,t,superadmin,2021-11-25 01:30:04.082
R4_AMOU,AMOU,2,Prefecture,R4,eng,t,superadmin,2021-11-25 01:30:04.082
R4_AMOU,AMOU,2,Pr̩fecture,R4,fra,t,superadmin,2021-11-25 01:30:04.082
R4_EST_MONO,EST-MONO,2,Prefecture,R4,eng,t,superadmin,2021-11-25 01:30:04.082
R4_EST_MONO,EST-MONO,2,Pr̩fecture,R4,fra,t,superadmin,2021-11-25 01:30:04.082
R4_OGOU,OGOU,2,Prefecture,R4,eng,t,superadmin,2021-11-25 01:30:04.082
R4_OGOU,OGOU,2,Pr̩fecture,R4,fra,t,superadmin,2021-11-25 01:30:04.082
R5_CINKASSE,CINKASSE,2,Prefecture,R5,eng,t,superadmin,2021-11-25 01:30:04.082
R5_CINKASSE,CINKASSE,2,Pr̩fecture,R5,fra,t,superadmin,2021-11-25 01:30:04.082
R5_KPENDJAL,KPENDJAL,2,Prefecture,R5,eng,t,superadmin,2021-11-25 01:30:04.082
R5_KPENDJAL,KPENDJAL,2,Pr̩fecture,R5,fra,t,superadmin,2021-11-25 01:30:04.082
R5_KPENDJAL_OUEST,KPENDJAL OUEST,2,Prefecture,R5,eng,t,superadmin,2021-11-25 01:30:04.082
R5_KPENDJAL_OUEST,KPENDJAL OUEST,2,Pr̩fecture,R5,fra,t,superadmin,2021-11-25 01:30:04.082
R5_OTI,OTI,2,Prefecture,R5,eng,t,superadmin,2021-11-25 01:30:04.082
R5_OTI,OTI,2,Pr̩fecture,R5,fra,t,superadmin,2021-11-25 01:30:04.082
R5_OTI_SUD,OTI SUD,2,Prefecture,R5,eng,t,superadmin,2021-11-25 01:30:04.082
R5_OTI_SUD,OTI SUD,2,Pr̩fecture,R5,fra,t,superadmin,2021-11-25 01:30:04.082
R5_TANDJOARE,TANDJOARE,2,Prefecture,R5,eng,t,superadmin,2021-11-25 01:30:04.082
R5_TANDJOARE,TANDJOARE,2,Pr̩fecture,R5,fra,t,superadmin,2021-11-25 01:30:04.082
R5_TONE,TONE,2,Prefecture,R5,eng,t,superadmin,2021-11-25 01:30:04.082
R5_TONE,TONE,2,Pr̩fecture,R5,fra,t,superadmin,2021-11-25 01:30:04.082
R6_AGOE_NYIVE,AGOE NYIVE,2,Prefecture,R6,eng,t,superadmin,2021-11-25 01:30:04.082
R6_AGOE_NYIVE,AGOE NYIVE,2,Pr̩fecture,R6,fra,t,superadmin,2021-11-25 01:30:04.082
R6_GOLFE,GOLFE,2,Prefecture,R6,eng,t,superadmin,2021-11-25 01:30:04.082
R6_GOLFE,GOLFE,2,Pr̩fecture,R6,fra,t,superadmin,2021-11-25 01:30:04.082
R1_BLITTA_BLITTA_1,BLITTA 1,3,Commune,R1_BLITTA,eng,t,superadmin,2021-11-25 01:30:04.082
R1_BLITTA_BLITTA_1,BLITTA 1,3,Commune,R1_BLITTA,fra,t,superadmin,2021-11-25 01:30:04.082
R1_BLITTA_BLITTA_2,BLITTA 2,3,Commune,R1_BLITTA,eng,t,superadmin,2021-11-25 01:30:04.082
R1_BLITTA_BLITTA_2,BLITTA 2,3,Commune,R1_BLITTA,fra,t,superadmin,2021-11-25 01:30:04.082
R1_BLITTA_BLITTA_3,BLITTA 3,3,Commune,R1_BLITTA,eng,t,superadmin,2021-11-25 01:30:04.082
R1_BLITTA_BLITTA_3,BLITTA 3,3,Commune,R1_BLITTA,fra,t,superadmin,2021-11-25 01:30:04.082
R1_MO_MO_1,MO 1,3,Commune,R1_MO,eng,t,superadmin,2021-11-25 01:30:04.082
R1_MO_MO_1,MO 1,3,Commune,R1_MO,fra,t,superadmin,2021-11-25 01:30:04.082
R1_MO_MO_2,MO 2,3,Commune,R1_MO,eng,t,superadmin,2021-11-25 01:30:04.082
R1_MO_MO_2,MO 2,3,Commune,R1_MO,fra,t,superadmin,2021-11-25 01:30:04.082
R1_SOTOUBOUA_SOTOUBOUA_1,SOTOUBOUA 1,3,Commune,R1_SOTOUBOUA,eng,t,superadmin,2021-11-25 01:30:04.082
R1_SOTOUBOUA_SOTOUBOUA_1,SOTOUBOUA 1,3,Commune,R1_SOTOUBOUA,fra,t,superadmin,2021-11-25 01:30:04.082
R1_SOTOUBOUA_SOTOUBOUA_2,SOTOUBOUA 2,3,Commune,R1_SOTOUBOUA,eng,t,superadmin,2021-11-25 01:30:04.082
R1_SOTOUBOUA_SOTOUBOUA_2,SOTOUBOUA 2,3,Commune,R1_SOTOUBOUA,fra,t,superadmin,2021-11-25 01:30:04.082
R1_SOTOUBOUA_SOTOUBOUA_3,SOTOUBOUA 3,3,Commune,R1_SOTOUBOUA,eng,t,superadmin,2021-11-25 01:30:04.082
R1_SOTOUBOUA_SOTOUBOUA_3,SOTOUBOUA 3,3,Commune,R1_SOTOUBOUA,fra,t,superadmin,2021-11-25 01:30:04.082
R1_TCHAMBA_TCHAMBA_1,TCHAMBA 1,3,Commune,R1_TCHAMBA,eng,t,superadmin,2021-11-25 01:30:04.082
R1_TCHAMBA_TCHAMBA_1,TCHAMBA 1,3,Commune,R1_TCHAMBA,fra,t,superadmin,2021-11-25 01:30:04.082
R1_TCHAMBA_TCHAMBA_2,TCHAMBA 2,3,Commune,R1_TCHAMBA,eng,t,superadmin,2021-11-25 01:30:04.082
R1_TCHAMBA_TCHAMBA_2,TCHAMBA 2,3,Commune,R1_TCHAMBA,fra,t,superadmin,2021-11-25 01:30:04.082
R1_TCHAMBA_TCHAMBA_3,TCHAMBA 3,3,Commune,R1_TCHAMBA,eng,t,superadmin,2021-11-25 01:30:04.082
R1_TCHAMBA_TCHAMBA_3,TCHAMBA 3,3,Commune,R1_TCHAMBA,fra,t,superadmin,2021-11-25 01:30:04.082
R1_TCHAOUDJO_TCHAOUDJO_1,TCHAOUDJO 1,3,Commune,R1_TCHAOUDJO,eng,t,superadmin,2021-11-25 01:30:04.082
